,btc_PriceUSD,btc_AdrActCnt,btc_BlkCnt,btc_BlkSizeByte,btc_BlkSizeMeanByte,btc_DiffMean,btc_FeeMeanNtv,btc_FeeMedNtv,btc_FeeTotNtv,btc_TxCnt,btc_TxTfr,btc_TxTfrValMeanNtv,btc_TxTfrValMedNtv,btc_TxTfrValNtv
2009-01-25,,193.0,191.0,41447.0,217.0,1.0,0.0,0.0,0.0,1.0,1.0,50.0,50.0,50.0
2009-01-26,,117.0,96.0,23036.0,239.958333333333,1.0,0.0,0.0,0.0,1.0,1.0,1000.0,1000.0,1000.0
2009-01-27,,101.0,97.0,21370.0,220.309278350515,1.0,0.0,0.0,0.0,1.0,1.0,150.0,150.0,150.0
2009-01-28,,112.0,112.0,24152.0,215.642857142857,1.0,,,0.0,0.0,0.0,,,0.0
2009-01-29,,134.0,121.0,27498.0,227.256198347107,1.0,0.0,0.0,0.0,1.0,1.0,600.0,600.0,600.0
2009-01-30,,117.0,117.0,25254.0,215.846153846154,1.0,,,0.0,0.0,0.0,,,0.0
2009-01-31,,159.0,138.0,32084.0,232.492753623188,1.0,0.0,0.0,0.0,1.0,1.0,1000.0,1000.0,1000.0
2009-02-01,,116.0,113.0,24656.0,218.194690265487,1.0,0.0,0.0,0.0,1.0,1.0,100.0,100.0,100.0
2009-02-02,,130.0,128.0,27789.0,217.1015625,1.0,0.0,0.0,0.0,1.0,1.0,50.0,50.0,50.0
2009-02-03,,154.0,139.0,34536.0,248.460431654676,1.0,0.125625,0.0,2.01,16.0,12.0,8.59166666666667,0.01,103.1
2009-02-04,,119.0,119.0,25674.0,215.747899159664,1.0,,,0.0,0.0,0.0,,,0.0
2009-02-05,,126.0,126.0,27185.0,215.753968253968,1.0,,,0.0,0.0,0.0,,,0.0
2009-02-06,,122.0,122.0,26330.0,215.819672131148,1.0,,,0.0,0.0,0.0,,,0.0
2009-02-07,,156.0,129.0,31002.0,240.325581395349,1.0,0.0,0.0,0.0,4.0,4.0,287.5,174.0,1150.0
2009-02-08,,134.0,132.0,28720.0,217.575757575758,1.0,0.0,0.0,0.0,1.0,1.0,1000.0,1000.0,1000.0
2009-02-09,,179.0,134.0,33982.0,253.597014925373,1.0,0.0,0.0,0.0,1.0,1.0,2200.0,2200.0,2200.0
2009-02-10,,120.0,120.0,25880.0,215.666666666667,1.0,,,0.0,0.0,0.0,,,0.0
2009-02-11,,148.0,133.0,30475.0,229.135338345865,1.0,0.0,0.0,0.0,2.0,2.0,275.02,275.02,550.04
2009-02-12,,119.0,119.0,25688.0,215.865546218487,1.0,,,0.0,0.0,0.0,,,0.0
2009-02-13,,124.0,124.0,26769.0,215.879032258065,1.0,,,0.0,0.0,0.0,,,0.0
2009-02-14,,136.0,136.0,29347.0,215.786764705882,1.0,,,0.0,0.0,0.0,,,0.0
2009-02-15,,142.0,128.0,29364.0,229.40625,1.0,0.0,0.0,0.0,3.0,3.0,300.0,250.0,900.0
2009-02-16,,153.0,122.0,29787.0,244.155737704918,1.0,0.0,0.0,0.0,1.0,1.0,1500.0,1500.0,1500.0
2009-02-17,,117.0,117.0,25263.0,215.923076923077,1.0,,,0.0,0.0,0.0,,,0.0
2009-02-18,,118.0,118.0,25481.0,215.940677966102,1.0,,,0.0,0.0,0.0,,,0.0
2009-02-19,,141.0,124.0,28650.0,231.048387096774,1.0,0.0,0.0,0.0,1.0,1.0,800.0,800.0,800.0
2009-02-20,,122.0,122.0,26334.0,215.852459016393,1.0,,,0.0,0.0,0.0,,,0.0
2009-02-21,,114.0,114.0,24619.0,215.956140350877,1.0,,,0.0,0.0,0.0,,,0.0
2009-02-22,,133.0,121.0,27655.0,228.553719008264,1.0,0.0,0.0,0.0,4.0,4.0,262.5,300.0,1050.0
2009-02-23,,108.0,108.0,23327.0,215.990740740741,1.0,,,0.0,0.0,0.0,,,0.0
2009-02-24,,106.0,106.0,22888.0,215.924528301887,1.0,,,0.0,0.0,0.0,,,0.0
2009-02-25,,105.0,105.0,22667.0,215.87619047619,1.0,,,0.0,0.0,0.0,,,0.0
2009-02-26,,107.0,107.0,23107.0,215.953271028037,1.0,,,0.0,0.0,0.0,,,0.0
2009-02-27,,152.0,115.0,28958.0,251.808695652174,1.0,0.0,0.0,0.0,1.0,1.0,1800.0,1800.0,1800.0
2009-02-28,,107.0,99.0,22227.0,224.515151515152,1.0,0.0,0.0,0.0,1.0,1.0,350.0,350.0,350.0
2009-03-01,,105.0,105.0,22676.0,215.961904761905,1.0,,,0.0,0.0,0.0,,,0.0
2009-03-02,,108.0,108.0,23324.0,215.962962962963,1.0,,,0.0,0.0,0.0,,,0.0
2009-03-03,,114.0,105.0,23670.0,225.428571428571,1.0,0.0,0.0,0.0,2.0,2.0,200.0,200.0,400.0
2009-03-04,,130.0,104.0,25450.0,244.711538461538,1.0,0.0,0.0,0.0,2.0,2.0,600.165,600.165,1200.33
2009-03-05,,121.0,112.0,25132.0,224.392857142857,1.0,0.0,0.0,0.0,1.0,1.0,400.0,400.0,400.0
2009-03-06,,117.0,117.0,25265.0,215.940170940171,1.0,,,0.0,0.0,0.0,,,0.0
2009-03-07,,109.0,109.0,23541.0,215.97247706422,1.0,,,0.0,0.0,0.0,,,0.0
2009-03-08,,142.0,115.0,28013.0,243.591304347826,1.0,0.0,0.0,0.0,3.0,3.0,516.666666666667,300.0,1550.0
2009-03-09,,108.0,108.0,23297.0,215.712962962963,1.0,,,0.0,0.0,0.0,,,0.0
2009-03-10,,107.0,107.0,23109.0,215.971962616822,1.0,,,0.0,0.0,0.0,,,0.0
2009-03-11,,114.0,114.0,24610.0,215.877192982456,1.0,,,0.0,0.0,0.0,,,0.0
2009-03-12,,122.0,118.0,25906.0,219.542372881356,1.0,0.0,0.0,0.0,1.0,1.0,150.0,150.0,150.0
2009-03-13,,127.0,113.0,25921.0,229.389380530973,1.0,0.0,0.0,0.0,1.0,1.0,750.0,750.0,750.0
2009-03-14,,110.0,110.0,23736.0,215.781818181818,1.0,,,0.0,0.0,0.0,,,0.0
2009-03-15,,123.0,123.0,26565.0,215.975609756098,1.0,,,0.0,0.0,0.0,,,0.0
2009-03-16,,170.0,121.0,31643.0,261.512396694215,1.0,0.0,0.0,0.0,1.0,1.0,2400.0,2400.0,2400.0
2009-03-17,,114.0,114.0,24619.0,215.956140350877,1.0,,,0.0,0.0,0.0,,,0.0
