,ltc_PriceUSD,ltc_AdrActCnt,ltc_BlkCnt,ltc_BlkSizeByte,ltc_BlkSizeMeanByte,ltc_DiffMean,ltc_FeeMeanNtv,ltc_FeeMedNtv,ltc_FeeTotNtv,ltc_TxCnt,ltc_TxTfr,ltc_TxTfrValMeanNtv,ltc_TxTfrValMedNtv,ltc_TxTfrValNtv
2011-11-04,,3948.0,931.0,992349.0,1065.89581095596,0.424065921943562,0.000149862384976526,0.0,0.31920688,2130.0,4218.0,31.9510110134282,9.118455635,134769.36445464
2011-11-05,,2811.0,593.0,687374.0,1159.14671163575,0.618815153346422,0.000147050918884664,0.0,0.23204635,1578.0,3124.0,29.2193572536876,8.332105235,91281.27206052
2011-11-06,,2989.0,627.0,747438.0,1192.08612440191,0.618815153346422,0.000211934488603156,0.0,0.36261991,1711.0,3391.0,26.0773337033618,9.06316846,88428.2385881
2011-11-07,,2800.0,584.0,709731.0,1215.29280821918,0.618815153346422,0.000830405327564895,0.0,1.34359582,1618.0,3205.0,30.2976857703557,8.478285,97104.08289399
2011-11-08,,2987.0,534.0,725808.0,1359.19101123596,0.64027441618587,0.000168611148491879,0.0,0.29068562,1724.0,3415.0,33.7124653617628,8.434763,115128.06921042
2011-11-09,,2673.0,543.0,726010.0,1337.0349907919,0.642153740630058,0.000562674154652687,0.0,0.85864076,1526.0,3024.0,33.355053848006,8.370261145,100865.68283637
2011-11-10,,2602.0,526.0,656809.0,1248.68631178707,0.642153740630057,0.000148944656121045,0.0,0.21656553,1454.0,2875.0,30.6807758056035,8.01572678,88207.23044111
2011-11-11,,3339.0,577.0,1339538.0,2321.55632582322,0.63369981074124,0.000613538779041028,0.0,1.24118895,2023.0,19845.0,6.90715493087428,1e-08,137072.4896032
2011-11-12,,2390.0,581.0,578989.0,996.538726333907,0.601840372482571,0.0001409631796875,0.0,0.18043287,1280.0,2540.0,48.4760234075315,6.555328465,123129.09945513
2011-11-13,,2869.0,559.0,1060012.0,1896.26475849732,0.601840372482571,0.00020601985443038,0.0,0.32551137,1580.0,12775.0,9.85114402564071,1e-08,125848.36492756
2011-11-14,,2847.0,586.0,818373.0,1396.5409556314,0.601840372482571,0.000131246614654003,0.0,0.19345751,1474.0,6890.0,19.2701959198723,1e-08,132771.64988792
